time,x,y,z
7.92000000,1.06597042,0.99782158,0.00000000
7.94000000,1.08591233,0.99630270,0.00000000
7.96000000,1.10581987,0.99438532,0.00000000
7.98000000,1.12568509,0.99207019,0.00000000
8.00000000,1.14550003,0.98935825,0.00000000
8.02000000,1.16525678,0.98625057,0.00000000
8.04000000,1.18494743,0.98274842,0.00000000
8.06000000,1.20456410,0.97885317,0.00000000
8.08000000,1.22409894,0.97456640,0.00000000
8.10000000,1.24354415,0.96988981,0.00000000
8.12000000,1.26289195,0.96482528,0.00000000
8.14000000,1.28213459,0.95937483,0.00000000
8.16000000,1.30126438,0.95354065,0.00000000
8.18000000,1.32027368,0.94732506,0.00000000
8.20000000,1.33915486,0.94073056,0.00000000
8.22000000,1.35790039,0.93375977,0.00000000
8.24000000,1.37650276,0.92641550,0.00000000
8.26000000,1.39495454,0.91870067,0.00000000
8.28000000,1.41324834,0.91061837,0.00000000
8.30000000,1.43137684,0.90217183,0.00000000
8.32000000,1.44933281,0.89336444,0.00000000
8.34000000,1.46710904,0.88419972,0.00000000
8.36000000,1.48469844,0.87468133,0.00000000
8.38000000,1.50209396,0.86481307,0.00000000
8.40000000,1.51928865,0.85459891,0.00000000
8.42000000,1.53627564,0.84404291,0.00000000
8.44000000,1.55304812,0.83314931,0.00000000
8.46000000,1.56959939,0.82192246,0.00000000
8.48000000,1.58592283,0.81036686,0.00000000
8.50000000,1.60201190,0.79848711,0.00000000
8.52000000,1.61786018,0.78628799,0.00000000
8.54000000,1.63346133,0.77377435,0.00000000
8.56000000,1.64880909,0.76095122,0.00000000
8.58000000,1.66389735,0.74782372,0.00000000
8.60000000,1.67872005,0.73439710,0.00000000
8.62000000,1.69327127,0.72067673,0.00000000
8.64000000,1.70754519,0.70666810,0.00000000
8.66000000,1.72153611,0.69237681,0.00000000
8.68000000,1.73523842,0.67780858,0.00000000
8.70000000,1.74864665,0.66296923,0.00000000
8.72000000,1.76175542,0.64786471,0.00000000
8.74000000,1.77455951,0.63250104,0.00000000
8.76000000,1.78705378,0.61688439,0.00000000
8.78000000,1.79923324,0.60102099,0.00000000
8.80000000,1.81109301,0.58491719,0.00000000
8.82000000,1.82262836,0.56857943,0.00000000
8.84000000,1.83383468,0.55201425,0.00000000
8.86000000,1.84470746,0.53522827,0.00000000
8.88000000,1.85524238,0.51822821,0.00000000
8.90000000,1.86543521,0.50102086,0.00000000
8.92000000,1.87528188,0.48361311,0.00000000
8.94000000,1.88477844,0.46601192,0.00000000
8.96000000,1.89392111,0.44822433,0.00000000
8.98000000,1.90270622,0.43025745,0.00000000
9.00000000,1.91113026,0.41211849,0.00000000
9.02000000,1.91918986,0.39381467,0.00000000
9.04000000,1.92688180,0.37535334,0.00000000
9.06000000,1.93420299,0.35674187,0.00000000
9.08000000,1.94115052,0.33798771,0.00000000
9.10000000,1.94772160,0.31909836,0.00000000
9.12000000,1.95391361,0.30008138,0.00000000
9.14000000,1.95972406,0.28094436,0.00000000
9.16000000,1.96515063,0.26169497,0.00000000
9.18000000,1.97019116,0.24234091,0.00000000
9.20000000,1.97484362,0.22288991,0.00000000
9.22000000,1.97910616,0.20334976,0.00000000
9.24000000,1.98297707,0.18372828,0.00000000
9.26000000,1.98645480,0.16403330,0.00000000
9.28000000,1.98953796,0.14427272,0.00000000
9.30000000,1.99222533,0.12445442,0.00000000
